Unnamed: 0,A,B,C
90001,nibi1fee3dwc5pxhzlkrmec4pwjtmk80xm9en29pkxk,,
90002,nibi18t39gqq7md29nh8m3293w0kn4amv257zk7wpdp,,
90003,nibi16p4dkgz9qprrzfx46f2ycra8are6fnnsq09f0r,,
90004,nibi1xu2jcqhlxltlnflkq8yjvkxzyntrweqctrpn66,,
90005,nibi1rmt5pjynwpcf0jmsh9z7kzlam5kx93z5e3f8dz,,
90006,nibi1qag0xuheqj48hr0fsa438622xr2lc82x6setp6,,
90007,nibi19kvnakjgghx8kw4205cpk50cs6ef0efnvqmyd4,,
90008,nibi1l9w9hkzzka93wpdy50ddyjuxcgun7kss60avfz,,
90009,nibi1pj9ye7lxzv2d5s2tlmcxa54sm6ydjg0v65nt5g,,
90010,nibi1dhnx4wwms9ae2uz2zuhtteu27ww58aarw0453p,,
90011,nibi1d0xutnrcgk80g0jcst0kdfhaftlsnxtwgjhq3s,,
90012,nibi1vrlyh7peapl48pxy6dmjvurclsvews9rfnnmnr,,
90013,nibi149curu82ykh55r4lxg29n6htsx62762mwz09lg,,
90014,nibi1uvf9vyv3323rnkw0965qdz2p7e4w8pta3r7lqy,,
90015,nibi1wpdzwaejmxkp869gzpjdw3a43wm36mn49axwhh,,
90016,nibi15434x2u3kk46n9xfa3d4wdfa2tam6hpqhcz4dk,,
90017,nibi1nxyrjxnhdvvc9kej524mkgap7k5kk488ugafkh,,
90018,nibi1e2yty024jk205t5e09483058wkrjkahcwy2y5p,,
90019,nibi1nl4xx68te8hrgw79jdu2jrdj6wvra0d4ady0n7,,
90020,nibi1tnvtlxkmqum7s8a04cpxlfj7wf79sgnxwtnh3s,,
90021,nibi1vj6udu69e526y7n24hc8s7l230h35k3v37hp3w,,
90022,nibi1cc03jd2c3lhqwx6el03w3qk748zz9m6gvknwex,,
90023,nibi134wa30vp72vfzw3rtrpr73lksn26chrwn68039,,
90024,nibi1zv9yc237mdz7d5zerl654458effk4yyprlkqgk,,
90025,nibi1upucn0d9jq8rdjaj8qrke9hy4ea3vq2wkq0twe,,
90026,nibi1udxfmeye8n57jsse9wjn3nx9kmrun2lpp08xcd,,
90027,nibi1k9jg3fenry7ntl5y6hmjlgg0pmkwrf8wy8pzp6,,
90028,nibi1y6ycm3uj8clv4c5lyt6axr4gzn05fcfwh5k9ff,,
90029,nibi1afvgcym8syjtdd3rm9udr3v9kv9zsxlpjs0ehn,,
90030,nibi18zrx2qxdj9asa6ccfnwse7q63mu4whz8cxh24d,,
90031,nibi17ar0dnr2m6hjwkacr2f5zcmaq3uyze08tw8c0r,,
90032,nibi1kkxevjchl0ut3cy4jkwe39ndyvqzjqpz9e3xsp,,
90033,nibi1mkgmyq6h0hqwyvmmylgesfgtrf2c9n35qwt9dx,,
90034,nibi145dwuawz7ymv0zj3crd7l9ls236rmgcr82l83u,,
90035,nibi13njewxn6wflf84m2ctkhhcm9yzj2fsyatusye5,,
90036,nibi1vteduvzxqhm82qx43x29prepl3p9p5dhhfh784,,
90037,nibi1l5dyksc88ef7k3wf4ukvfuyr4kykuxzrkh6phs,,
90038,nibi1v9sql9acphe0eg3f9tz78uafcdqfnc57j00k29,,
90039,nibi193q9nnxqccdtklxryfdfapl53aess424fmx53u,,
90040,nibi1kf8qqv4eul3u8tqmq4d8zf9wvpexjj9yl8szp3,,
90041,nibi1t4kl3j8wyltdayrtlss76caewdvgc85vskzswa,,
90042,nibi1r3qjgsskm446fwvl7rmzza7t7ktuprhqq6zzk2,,
90043,nibi18s96tp9pjta740v8rxp4s2aempd6rccx3nkgaf,,
90044,nibi1gt5yn629c4vtsvpvyjwg8708etwk8wyzkxcsdg,,
90045,nibi1v6jtzc56fd2z77ww6erl4upq993vps0jdk84p8,,
90046,nibi1zpynx99w0q7gq9fmedv0zd95nn4vfx58ga99kg,,
