Unnamed: 0,A,B,C
60001,nibi130lhvzxzqcqnnahtsz55sewxs05723uaj5kxpj,,
60002,nibi1xlk3karypakf6ycegj6zur2yvy4ddsk4354226,,
60003,nibi1n5r0mwtafqryjlmts2j82vxzqsqh8mxllz3dt7,,
60004,nibi1cl47gs4jag05uyek9s0m3a27vf0dy7rhpyepqk,,
60005,nibi1a8rx7yjelveejpu9rz6ymx5jl2j4v7fp59k4gn,,
60006,nibi1efeku6ax5xzq3927wczuyak0y8tart3tt7lnqk,,
60007,nibi17qu0s9d876c08pjcx6ewlt80ewrytdrtvmy8d7,,
60008,nibi1wjddjhg5ukjlanpka3u3vx86zlscwntm7pllk6,,
60009,nibi1qryc9pltyfjys2k6awux3p6y6tsvvh9h25zxwk,,
60010,nibi1m8dxvfksfstrmm0xck5t78dx9rgp27cr0nw79n,,
60011,nibi1t2n0h4m5u5pk6fl5vagq44af2cw5ejnfq407se,,
60012,nibi1cdt0j0h7ns43eg23hwfllrkav22786vxcdwf0a,,
60013,nibi165gjvtxww0f7uduxquk2xuqleudxh30tuc87et,,
60014,nibi1z4lfky5rf7hvn7rgtcwyfe5u8h0lkqz8xqcsy6,,
60015,nibi1gmyaxj5e2evgx7mz9qjwwfh0m9hmsu6l32dptt,,
60016,nibi1fydjmnr2x4ys7vvx5dlfys9n3thwy4q23sm6yw,,
60017,nibi1vrw25rc7wjvsff4w760rpfwlpfgaqp8hf6c2ww,,
60018,nibi1hxm3wkq9ulzc3r3kvr2525n8yx3szz2fajmf2m,,
60019,nibi1p2qvjk3ecjsv9ctcca62j3mjtfxema6wcu9hcc,,
60020,nibi13punw5f2xng63pscgv2ggzzqj98rrel3mvpcpz,,
60021,nibi1s8urvdxu78250rf0qt2pftqtugawrexx756tj8,,
60022,nibi1hxrr0ahn6qa5ch2hnsh05xh78r5u8hknecjlaz,,
60023,nibi1dytrmxgs6tmqrf8vr04ac5nlwfe7cg8nu8fv87,,
60024,nibi1fjdp2avzyl0wazcq5r6n0979jf5uk0ksrkadlc,,
60025,nibi1xn9ncgppwqqq8p04ljngxelwe7y7t222sy4nf3,,
60026,nibi17fd532uc2nk4c5j93hnqtc2udhatdgfjq7ekjh,,
60027,nibi1m08k8udl7jqgjvkp4x92wf4quu0zdywrtg7cr0,,
60028,nibi1yw982chnfgje4fk89n8spv0t2w3apjtw6rk88m,,
60029,nibi1nmpmgamwnxzv3gw6shjfs9lldj4mmwj55yh40s,,
60030,nibi1wlg3c7sgn0cfvdmed6aj50av58qjex9cvhz9jn,,
60031,nibi13y2nzalt9rmaxwxc37ujj5n3z9xr538e5jcjnq,,
60032,nibi1etpzwlksnt7afud9wjyq875q7hmdks4sj7xd6g,,
60033,nibi1etpzwlksnt7afud9wjyq875q7hmdks4sj7xd6g,,
60034,nibi10zvhdrae93dglzpppkgt3efyqkj90utwtvumvp,,
60035,nibi1508klhxd2f94q8jlwg9ry0x0fdm5tluzstf9tt,,
60036,nibi124zpjuhwwajzq3uvh2fj8ncwpzc2dmt0ucrrej,,
60037,nibi1ue5gxhgjd89xg0cgay85umjcrcpsm9jwvzys4p,,
60038,nibi1r5ngtuftkwnlxlm7wue7m3azl98kvevtsj6vm5,,
60039,nibi17j3sjg9lrlrr5m7r672dnafeyrr0fd6yj3xamk,,
60040,nibi1wskmhyq0cguf6s9paf4m4vtxwkmk2w4tatg2g2,,
60041,nibi1eu2559qvq7cyh9z8wxvqway44jxmym6np66q6n,,
60042,nibi19xk2ux4rawcxqf0wfnccrvvf0d3dt0uwcph825,,
60043,nibi1p8qsj0gng4k3yrzyscxk8gxccc47xl7a98anmy,,
60044,nibi1tjd8tp9yys2m7v55czgng9ncm9mus23frddaaf,,
60045,nibi1zt4gzgurezgyq34dtkk9m4drq6skekej8w7kzm,,
60046,nibi16ytxdf52h0jpteqttxuj59jxv5hpezv2ayf8k4,,
60047,nibi19algwucq7cfgcy3d7kxxsyf0ymfef28smryhhm,,
60048,nibi1gk7rez4hwlk9e39r8y82gyufze3n42knu5hr3t,,
60049,nibi19n2n896e5zhrm4ggm63tqzuudlcmkqmjlcjar6,,
60050,nibi1z6dr3s2au5dvzkkc0vvs5vazu9mq7nmcy949up,,
60051,nibi1qs3x3rssgasythqhhhpmr9gpsdzmz5drjwrucc,,
60052,nibi1qf6u0lgtmqsmcrhhakce9uqgrzp0hvjmsd4n5h,,
60053,nibi1px0tn4mgweld6ruunmnfeluldr5h5pn9aqp3n5,,
60054,nibi1lydvkpssmztj7a88yuq3dudrhg6spn39f7xjxa,,
60055,nibi1q64uq83s4ckkahjmkedwwfna9875jynnxnut9g,,
60056,nibi1y929rw2u2xej0xmgv083f45ftznfngqua8h5rs,,
60057,nibi1h6glepzushmas4jl0lennw6nfmj64fev0r5ylp,,
60058,nibi1hx44eurcavttrqztenjc76dfmw7emr09kpjd5e,,
60059,nibi1aevgzk50ckhw7z9av57kmft97ss7yvkssh4ul2,,
60060,nibi13d6z72j8c6yna35cna5lvlm9mxy96rndgq63cd,,
60061,nibi1zpqfc9zfl7qzlaak33fah982qp47j5yaymcgqz,,
60062,nibi1majhs3uknxhhs9jrv6xhlkq8cdc0eu3lfjtxhd,,
60063,nibi156mgq2xh2373uy9gf2dqh27z3rn37ch2z066t0,,
60064,nibi1smmmyvrmfcc85e0nu5gqphcufxvcrrnus2tmp4,,
60065,nibi1j4m28ju0pz6vvygs8uzm3kjm4jmknxt882mpqc,,
60066,nibi189dys30crzps4u0geyc8k6y6yd2m35u0cd6h0g,,
60067,nibi1gdcpcecryjaxqz83f2r08jxvgl4zwzs2453njn,,
60068,nibi1358pvjqkmap6u4aext3lhvwhrevpvhdrm8mrlg,,
60069,nibi1tqsgqwwzqqm3e4wk4h7v8j8k8ur7a0huhgxqfu,,
60070,nibi1mhaednuc5xgsvl4gwe8yx3573trr8zg407xaap,,
60071,nibi18tewrdag5e570e4eahhg7tvpqyqa5ptv0wswev,,
60072,nibi1smmfnyvh50ndxjd556mcyu5hsk6hkxnk6cfnzg,,
60073,nibi1gn7vl7m8wusnchf3xtdrnfqclxvj7hh0jae2t7,,
60074,nibi17tuad6sd4hd9g7jwcnt336ln3fe3n6n2552gay,,
60075,nibi15h5wjqrvug764s43g09l8unny98dq7dfvh5kmm,,
60076,nibi1l6gv53eulsgl82u8m5cdvrw82snd80mnursm4s,,
60077,nibi1m4uumuaxwx9ecltquakaajcljuf3l9amzx04p8,,
60078,nibi1scek7k3d27eq4mlg5qken628madv3zqd0vchkh,,
60079,nibi1ngm205khafsy3fwsgx39fakgku5jftdatnsnv0,,
60080,nibi1eags8nm4qa2a28sya8s3khaex9mkryuaurdr52,,
60081,nibi1swwe0934dvek942svql3ayplwlrqn5vga88kxs,,
60082,nibi1y6pr2qw6wu8xvqngpe8dvrj43tzjez0gh9ws89,,
60083,nibi1rl3tzu8hlfxhl29qp9xrx5szgx3czn7sm47sau,,
60084,nibi15pwpkjct6j0q8jla8k3gess60f6mnr5tzl5mnu,,
60085,nibi1ddkchp34rp3uh4xurlc5lnm08ruldlauay2pgq,,
60086,nibi10tga795mf56f8mwrgju4ew7dluxmfggvjzeez7,,
60087,nibi12ck8lat4vqslanqg8l57pke3e3zmgrw37wk5vn,,
60088,nibi1gmsswhrc3fttutfaraldhnted2llvjryhce2k7,,
60089,nibi15k92c6aq4cf9l78259360z8ue5t535l7l7luke,,
60090,nibi1hm8z9zww9uqzxncugk2nelq82yhwqn5e2fj2rc,,
60091,nibi19x7laa52wrq28daagcaqh7mnt2vh3lw7j7hdx6,,
60092,nibi13s6wt9arjl59gxjlnj9ju6h5msuy5s5gwtl0t5,,
60093,nibi15camwjyax3cmxy62qq6rk5hkvjs98ad7nw3dxn,,
60094,nibi17az6tpzlm4mwf8jzlkuw5jgmlm7rw5700v00ev,,
60095,nibi1fjmk7hxsrfe3xzth7sn4mswduvvmh9r87cm0zc,,
60096,nibi1tlt30hcusqm2ht7uugjcc5mfjyyvjsrnvhwqvx,,
60097,nibi1hnhs8pt9cg3aaksj32tykj63ac7m9ltvtf506h,,
60098,nibi1gyukt2j8rw6nfhp44sjng8neevlln5e3aq3xja,,
60099,nibi1xu4yd3mrmxwd3nua8x4th790x3x0j6acrshen2,,
60100,nibi12wpczyjxvdw5uhpgzv9gwm5q2vdnuugpg86jp8,,
60101,nibi16fy6agr0cl2ucr9aj65v2ayphy9j96007pu5le,,
60102,nibi1rxvdsqxm68lrnmnetktw6qjlcc4v4gjtfk6ara,,
60103,nibi156959r9srk2vpr0vyyj88hegm967cyfxqyfcqx,,
60104,nibi1pvggvtemhfq62yjslj4vaat0kxff8uz02jzkrp,,
60105,nibi15cl6jfrfl0texmgmfqrtg6jt4eqzn9crusvuqx,,
60106,nibi1z573fl0cfpu3cg32ev8ps2f8r43x6qspsajmcp,,
60107,nibi1gkn73luhjxpg0dvz0nuy9k8aetcl6paw3pc8wy,,
60108,nibi1de7x9rlyzhpl0fy2m3ycc8ndm7v3e4myyrs25n,,
60109,nibi16tzv0j8rfeett7jq9d442mpyhy5vqlyc87yr74,,
60110,nibi1jhcg9dla0ggx8ukumaht0pn6yw5jjgzjnx04gd,,
60111,nibi1vq2napmmmvxzg0wqauvlmu6s50s5xx088ufw09,,
60112,nibi1eszawx92c9hzl33gea7djednfxqwq6nqpe5hrr,,
60113,nibi1rtsq90vkm3x849p5uz0y9h5jrxu53v5k4r0u2v,,
60114,nibi10xsjgmzvkkhv0a0mtrh37t8mfq97hqmumxaqw8,,
60115,nibi1pk0ja0tnn77sa9l3gg3kw58fvvu6w9yx0nw9uy,,
60116,nibi1eylj8udnqtgz92uamze82xxp94pwafjszs8ugd,,
60117,nibi1ant85uwzfufn52jevneqn3cwazja64840g6svs,,
60118,nibi1jkfddj53hazq5vg2q887svp3xrnq9fzjwtpy3f,,
60119,nibi14v62qux39v4qtuutchnsnmqru0qsn4v3fmzv9r,,
60120,nibi1v2fr8gm66jl0hqkn0qw6mcad2grr4pa9t6q9c0,,
60121,nibi1zg2pn8x76uu9qrs8rrg85ck7qujgdfz8e0xf8a,,
