Unnamed: 0,A,B,C
40001,nibi1nmd3ej6uttx83dnfdt53mhk34h42v8eymmw029,,
40002,nibi16jazrwghvf5twtcjs6qzc6q38z497c84pl7m47,,
40003,nibi1xxp2ta69lgy9hf00eu0wxchenqgy0ewqjsq4w7,,
40004,nibi1talkme8u8md4dgndx924qzel305aesmtrm8e4a,,
40005,nibi1vvy8g6amqexhz9wn8vtepkgczp7a5c7agw6zss,,
40006,nibi1rdwpmkg5l63x59s2yuwcu50qcayma6avzz7xk0,,
40007,nibi1sxnlt63v4j468psucvf4m7xrhfvst7xjm37vdj,,
40008,nibi1mklgzqqzmkjd0ma9d5ecssma9zftz60jqu9n9z,,
40009,nibi1dgjq3z6atufurhdsrsvw93tfcl9z9h5ym88a2y,,
40010,nibi1tps05585zkdctpjs2hkf5en3ef6g97a5zgnmw3,,
40011,nibi16lan40ydwswezcwn5j8zdq3vfztu78k2hwh2xe,,
40012,nibi18r2fkdsjxv9495ey6t5mldcuvu4ypy7hmlryau,,
40013,nibi1a7rj4pwamrzcttqxwdhqh33ut6rpzvaqx6fz45,,
40014,nibi1runjrelkpwwvsecngm3lavpczz7k7qfg880pe8,,
40015,nibi1p5lhp72wljfxpsxrl5ejp4lzqv5tm8wtn73g99,,
40016,nibi1zmjct7luy0jxl2keue4d8yrygzrgth8ekcq3ra,,
40017,nibi19wn7zdpscnq7n0ws5ej9ts0xyhxpuvuh70ysy3,,
40018,nibi1hdyll498l6d2zacjrzfffl7ypyxqutlcy8szxs,,
40019,nibi13uw7zl5tfnysvpkzqgdgr2my0fsjgmsyjzq7c7,,
40020,nibi1tlkg286cmelyc30wsza6jeazj29v7ueyz3znwa,,
40021,nibi1jehpdjk99plz5kz42r379wcpwcmepujtfham5d,,
40022,nibi17r530d5469awxzkls9ah27zhz3v9fnqrgdtu0v,,
40023,nibi1stxs2flsruen3nkhzk37udhau0slaugmf652px,,
40024,nibi1z9t5hdeszlwd5fp7yxp0lyq0h79yndsvzqvp7k,,
40025,nibi1yc3ek6v87d03c9xk72n0myfkvneshnf8emjyyr,,
40026,nibi1xf8y3yggt64gw22czts75gh4x7234xw6n3x8xd,,
40027,nibi154e859euxxdz83wjys0v98jv50t7vz3yte6qhw,,
40028,nibi1qyv6rrg4ggu9e5wqknq6ne75ekjvqzzsdv0kzw,,
40029,nibi1gk8yzve0l6sc6s2jnm9dx4uv6srdeze4tamd7x,,
40030,nibi1y98qnnwp20tpe3z9eeclqnh52vjfs49ru72n5p,,
40031,nibi1sf599v32f4c6remkcuzpqcunpp8za74e05w69l,,
40032,nibi1ugnedn09fs9sfnyr0w4ah6nrmy9wetjzzztmmt,,
40033,nibi12skcyvv9nawetf5qmmsdlhy9w5l7aa7ket4jzm,,
40034,nibi19u6xekwzfag304z85rlveuffs8nkv6y3t9cz4w,,
40035,nibi1q39ea4mq292dm0uaplrvawad5hdsn82ed045pm,,
40036,nibi17w2sp6v3cece990t229u9m5xvnfuywcug7923f,,
40037,nibi1tvwex8m3qhf5w6nkm9l6zal0xf4u6vnrga0z85,,
40038,nibi1cgtud3pqpgppruj3uu9d3xrwam6s6dzfwxn20y,,
40039,nibi10yjsv30vsjt3ccapytkh45jk644mn56z75whnq,,
