Unnamed: 0,A,B,C
1,nibi1s36hjnmz3qfhkl20d62z9lplsena3ew72q9gyp,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
2,nibi1pdrfkp487e9hydw5rhm9wp6xkzyfgf3llv3hxu,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
3,nibi1qc00vrerrpkvzwthap0d3jlmq7z6m4gezf3vpf,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
4,nibi1ruj4fsh2c38plclwkuls7x8tpk5ya4qehm67zz,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
5,nibi1xpm06rn44da2gyn5jl622r6yug638ttuqa4ksg,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
6,nibi18kn2e3zm6aknjh92cgyq84jsrw7gatdhhr99uc,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
7,nibi1ve60pqwe3z3n88czlq3pvxux0rluaqt5dcasfk,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
8,nibi1ypn3j5q90scgejsqcl0ngqs75ll4l9l8xzpska,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
9,nibi15zudkgrnsfm7g2l0ck544zf8340jqear5gsv9a,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
10,nibi1qah4g6fnsceszajjml4fzv53zud8tsta7pt8jk,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
11,nibi14zldh9gvd7e6mu0w6h4cs0ss0dyw0t4vhgl656,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
12,nibi15gu5pxw8ax9xwft6pk453jkzqxlu0kjxg4rj6k,,"Users who have 2 discord roles, 50+ followers and filtered by georgraphy"
13,nibi15h6utgshw5ds0t5ay6ukhnx85mr4fa9hmml5nh,,
14,nibi19zc9uea0erhtfys6w5edqw3jr7jdqkfv8c6se4,,
15,nibi1xj9caazlqazdwa8dnkgjfgdh7akmck0l0m9pav,,
16,nibi1cw735uhpxp8ph8jmkgtfkaqvdd84uqppwvjlwm,,
17,nibi1m6eqd9tkp2cma9h9akydps4mndmyxzl6q5zwsy,,
18,nibi10hwcjtx8r3spswfah95w0avc9yesflmyxjg5mg,,
19,nibi1u42mgmzw4m23z4rneawa6pdrntunttk30fxr8t,,
20,nibi18yu4rp43n4u0jsyjk0w7y3r5vjqppzhm87q0s8,,
21,nibi1qsd4mhmqr2sh9mqn7vc8f7sp89fmf7snjg4qlh,,
22,nibi145uzvzgd96z8q65m3yyjrcg4nhzryrpxh0ujwu,,
23,nibi1rm4j6cy742txqkf3j69d0h3x3fjs9kwpx52yhm,,
24,nibi1frsvx58wka4qyt5p8cazeejg7cgxaf8uph25pm,,
25,nibi1fz38mhukufa2wyw8094e8xmdfnamctl2wxc6am,,
26,nibi1dwra8xs7nk8xjdvy8rey8t60f2a3jujjucfj2a,,
27,nibi17q0ytxdtmavr90c308vlg7jyvewhectdktw0py,,
28,nibi1hvgxvar8qhax5q7r5dfeegp3q33tarhe680eqf,,
29,nibi18vehmrmcet7975jn2e6r2shjcsyc85s7d9yxn9,,
30,nibi1yy8klg7flwmpmzzd49m26nzpnm5erpkty2c67c,,
31,nibi1sq9edfwyxm3ktxsx050u2e8hh5nywa2vvd2qqd,,
32,nibi1qf3svech90fp62mveg8cr0nvll4dlq8rza23rk,,
33,nibi13nrap24skxpjmek2e8zgg4dr7q8jrz4ga99m29,,
34,nibi1f8d7v40dvmeznzsk6tu37534wcttyuf92gtmhv,,
35,nibi1pywan5kt4mpsegr0jmnd79wpkptv5087htnjma,,
36,nibi14dycwj70efshwpxf05cuy54rtp7rns6ha4d9pl,,
37,nibi1svl3pfz57y96hx2ez8v2f5rkpgrss8f4lk0ynt,,
38,nibi1zlzkp2kr3df4hamjhuk25c2wluzh4uf2zvp677,,
39,nibi12yg0lnz47wc060wysgry4kmn6tkr3sp8ccjuta,,
40,nibi1xqqpggstkr7tk2whqwp0ucyszfz277f3ar08nd,,
41,nibi1kuczn3yrrm7m5xnv8g8grzy7rhvthgtyhsuk30,,
42,nibi1py9df7wp55ws08t40320v9swnp3n8f84fj6cwa,,
43,nibi1k48vt7dprd0r3huw4d63xzyzjclmt4sdyxhx3r,,
44,nibi1h5u9vcjwqu8n323jzl55ww7dqnqagw0l8fw5zx,,
45,nibi1662ymscvjvs2pxdqxe5l0nw4psc5a6kvsp2wn7,,
46,nibi183mgpr8280w5yt6fh7al7z72qwvzfr5srvnpe4,,
47,nibi1r8mfm826cx9sfqjfekc6mz6pg35cvj5fa2xhr2,,
48,nibi1rjl6qnaxwjlz8w2cd5vzsfrtycvuuelj8enxze,,
49,nibi1djsua22pyd82tersjfcy8crtmqwuesne0quzyc,,
50,nibi1q5zy48r58kwp06f0ewhl0v3sp67kqyfcv2ywxt,,
51,nibi12ztfw0nzf8rpy99ll5c5y5t3rpemug5wfr3jdk,,
52,nibi12zs6d94hrlp7npn6caygevdpld8d60t7f9gcnj,,
53,nibi1kacafmx6qxn5pwyrafqdax3r5qnscsrhfru4xn,,
54,nibi1rum2s9er5eldj2w0dh5lns35wh5txpld3urw94,,
55,nibi1rq68vnqagzvuz6apm5jgehfw8xm6p5c8amu5n3,,
56,nibi15lh6hccnn8nl4nrpw65gswwwz3qgnaqzf6vgey,,
57,nibi1wepduxlvcw29f45w2zjkjxm0qtlladc5zzes03,,
58,nibi1j6rzjdk6tf8pslqe4fszchzc5dn3yjj2f9k5cc,,
59,nibi13rq5s0vvkk8eazvkc5px7uv9j0hmufzkaf2xft,,
60,nibi1cs3qgqlv53xp09lw5cgfcegffhy4zzehyy87ur,,
61,nibi1h5e6tu789dq9h85ml354c79y50p4404we3mq0h,,
62,nibi17u4hzclwvyetahhq3k0wxq6pf7d4f7rwqmny6m,,
63,nibi1n806ple4xpaslh9t8rtpesjrqvm766a4gnrnc7,,
64,nibi143qvsq4egklhdq7r3xa9yxaaeqgltkv6al42m4,,
65,nibi10ha6vf2qrsrteuf39zjufuvnytmxw8fwcc82x3,,
66,nibi1ldlxvalqns9d8d0lxzlg3mucua94uz2dk0alcl,,
67,nibi1nu5rqu03gn3ak82euagexnzqyfxzqj8p6775h4,,
68,nibi12ndql987q9272ng4ceqwtlq5mje3gxh6ynqdus,,
69,nibi1269nac0pm7m8pn8jwe2nh4lt7hs2nzj9svt8gl,,
70,nibi1uanymz0j0h9chvv26zcewgqjjad2wefsx68wth,,
71,nibi19jk5zrcv4u5nejxjwaz3ej63j8xe7j5e90zrhe,,
72,nibi1sq9rq5hphfz9dqr8twmd95982lre7j8mg60wvz,,
73,nibi1lkn30grejpkap4l9jddypg5ss9a8jmrgft0u2r,,
74,nibi1pjzl39h7jce0aj4ux9xex7tclpuj8wqwq5awxk,,
75,nibi1z8fqya78sectvjxjv6qcw3rtjy8sqgd6uq5ujz,,
76,nibi1gg4ht653lr9aleyk2f6m9yd4wfjaaz52w8r55u,,
77,nibi1hmmaz4eck04zzadpccdgehqw3qev2jjyn8mcgr,,
78,nibi1a5e5je08wptjvcqmq6vzxhp9prak68lmn5a7gl,,
79,nibi1nuthurxqpwcu446rm3wn87432w8u5uae37qh60,,
80,nibi1d4e32zk40yv5af0cysun0ef7v0tjy9lh8tsvxn,,
81,nibi17dxfrcwxlyr5zgjk7rxm2lc5n3ph5h7ar2mru8,,
82,nibi1j4kpkywuh44wgcngh902ttq3tzwqmzt26a9raq,,
83,nibi1eynelldty948xrgkq3a9p9t9h0v9xsd8l6gv4d,,
84,nibi1wjvfz95arrjmsyer8uwu6fd3sjt4rlnvu6mz9m,,
85,nibi1a2y3xj90t32ky45p7y9f0szgu58dv4uzvzza66,,
86,nibi1f7j6pxkenu7zthrhlet0qpm2n6u5gaglc27ktm,,
87,nibi1cryyzadl8r3q3ts2ns4twnayqvejmlg7cdacr8,,
88,nibi1832c25h4ajh65wdxqr35qzhk8y4qgtzhhwvfu8,,
89,nibi10s9pjzfm20cfr4t45v2a97jkrq8sfy4rrhugj7,,
90,nibi1lek62lwxr5xex7ug2wq9fjk85f4gna26suwhqk,,
91,nibi16yz478ectytld9jwlzwhccca2zs4qnqtvft48p,,
92,nibi1resmhrlc8gsr0djm2k27p2kt8qd80z0evy33pd,,
