Unnamed: 0,A,B,C
70001,nibi1uw006uzn764naqxwjfsluu33cld2vcffcw5cjx,,
70002,nibi17mt0aufp22rmn6asczewz78ygeec9ckatxlda2,,
70003,nibi1sdr7apc40x020vle6gcxc34ef76c9z5vn6w7c7,,
70004,nibi12yjk4xjwe5gknc5gtlxn96szr92n2pxptwzajq,,
70005,nibi1khmtafseqslf8l95zp4e7v966ve6acet7g95nj,,
70006,nibi15du5x83kqmr2j493r08y7me8td02vu46jwxlel,,
70007,nibi1ygrvkyvn2vw254wf8jz72t0n3cfu394zm0y0fv,,
70008,nibi1dfm42jpgzdrcan5wl575l50x8eem502kc3w547,,
70009,nibi1h2r37hr0wenlwum6clrzv2k8vuglzk6720x7nk,,
70010,nibi16jzgtx4uwgswvdet4hx8a8qspxjphqx0gq28vw,,
70011,nibi1ht5wkrpxz8fvmv85qufz0cvmlcrskgfvwvmhry,,
70012,nibi1nrg0tzt2ppgu96x8cn49jjzl6ksgcrtk0wtrqn,,
70013,nibi1w777yexssmusjaaq09ghjmcw8p4aar7my8hark,,
70014,nibi1rayht4r8gv607d2k63u25xtu0rdawdl7twvvpk,,
70015,nibi1cfemwstmdxqqxy8ldf9688nejwqqyxg0pp5ng3,,
70016,nibi1dxyh4n7ztw52ke2lxuhcn5ppzpdc307t440v7w,,
70017,nibi1hvnnq2n7lnnwvtt4k85ldlm2yaczy3ryspcdxj,,
70018,nibi1za7g92ll3denufee3awgr5j7qs884p498l92aa,,
70019,nibi1r22ck6ysmd8v3d0ca22ha6d6ulkf7zeaakh0cm,,
70020,nibi1hyuguz67vh906t80xre7hwyy9736j0v34esl7y,,
70021,nibi1576z4m7cuxan45xwlkn8mplpt09sse0rtmvfe5,,
70022,nibi1sswc598weg0n2k06fttjr7g7wpkjxnd5xmn20l,,
70023,nibi1adfafjs2r7ysdsdj8cdrpc7hpmnjxjpfvxfwzp,,
70024,nibi15vawpay0s7h5mge4s45ez70eqg3dpzz69gckpg,,
70025,nibi1qw2eszmv637dwn64q7897lyzeeysz2jh62zjy6,,
