Unnamed: 0,A,B,C
20001,nibi1efv8h8cmu9zhnn2jf2yyznf00hkvapgwgvkla7,,
20002,nibi1lar0g9d43qajmhajnnc0l77qy89x2xhhuxv9dh,,
20003,nibi160lc936kvla45fnwu5jnq8nhpf3x60rvnwss3h,,
20004,nibi13sv8v04phnx9eds34g87uff4eywp5tsh0eu3e9,,
20005,nibi1wqr3xaurhv53zk8f0tw3d9wckasyvnhkxakx5m,,
20006,nibi1xefzydyef5xfgs39f70n8dlv7hgvesk0v25csx,,
20007,nibi1k7dxcmu6k2jyqgec93k9ehfjkynt4ncsm9pt35,,
20008,nibi1vgdtr67f2w3dmyyp2658pmhk70fefxfqz9m6cj,,
20009,nibi1l55av0ctfutvp0jual5y8s5nmyytmsvm7zuddx,,
20010,nibi1llyfxytr4e6l7axjd2m2e8p5dcc9cuzp4r6jse,,
20011,nibi1j9ej59u9pd0wee9nna2et43rsektmz60r5wttq,,
20012,nibi1cgtpe7jrahylku0vztyy0hl7qr4ulr8h7geagd,,
20013,nibi1g6atnsdlunvua67h7xamdv5ufs8xev9ns0ky88,,
20014,nibi1z7gxngrarr76324kcskpuxyv4kjul0l2yxjpdp,,
20015,nibi1avh5u6w7uxzdc8rzcukyxu6wgcwzhx055c704l,,
20016,nibi1qtgcpdq6ctfu39r8rdeuwsx5h3n2prdxxy9zdp,,
20017,nibi1erwxjs2env0wqm4kqagm26uhskd79u9ydehp27,,
20018,nibi1dw8gut44ar7qwxfh3l849rqxnh629n7667ac5f,,
20019,nibi1fn0t8c27mn9sdruxngg62fs95zeu6l44yf0s5y,,
20020,nibi1je6e5rly9nke05lpur8h7t669pe32h32shdkap,,
20021,nibi1k2xd67sgvd9p3yp3uyk8vrtwj3ffge6m6mdaqe,,
20022,nibi1vhgre8d48glynjhhlnlwhyppazcyaduga9ah26,,
20023,nibi1268lzhhj290v856lw0murm4cfvn59vmdt7f5fy,,
20024,nibi1r4d2ux7z3vyhw7968luml6kavvtaz0z3nuy47f,,
20025,nibi1cq5s7tvks6v86wh0czt222vg3evqnn3lg0jgm2,,
20026,nibi1g8sr82j64t9zaxtqkmac376vvknfz0r928yrq6,,
20027,nibi1tc5qhr7jdnuxz4w35vqflq7s0qr45a44zyyvrt,,
20028,nibi15xpkz67aw5qttma45kl54uc3u5a7l6uftmu5eq,,
20029,nibi1eqpmke3d604v859wjyxtvn4nwze5a5qq6xlzsl,,
20030,nibi1e0ttqqtl0cdu5g6mazwuk40mndk5zvzgkr508x,,
20031,nibi19e46xglrxhn50ccmdqaxre00wdgfeamuat65t6,,
20032,nibi1vynusk668r34asvp42m9agknxsquaesv3jjq2k,,
20033,nibi1f6x5gnx4q5vrv8pg3hjpugeujkznc3ajf6jgwx,,
